States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
                                                Lagos                                            ,"98,318                                            ","17,483                                            ","80,066                                            ",769                                            
                                                FCT                                            ,"28,165                                            ",947                                            ,"26,971                                            ",247                                            
                                                Rivers                                            ,"16,421                                            ",164                                            ,"16,103                                            ",154                                            
                                                Kaduna                                            ,"11,175                                            ",29                                            ,"11,058                                            ",88                                            
                                                Plateau                                            ,"10,227                                            ",3                                            ,"10,149                                            ",75                                            
                                                Oyo                                            ,"10,186                                            ",354                                            ,"9,631                                            ",201                                            
                                                Edo                                            ,"7,665                                            ",23                                            ,"7,322                                            ",320                                            
                                                Ogun                                            ,"5,795                                            ",18                                            ,"5,695                                            ",82                                            
                                                Delta                                            ,"5,321                                            ",40                                            ,"5,170                                            ",111                                            
                                                Ondo                                            ,"5,124                                            ",344                                            ,"4,673                                            ",107                                            
                                                Kano                                            ,"4,916                                            ",87                                            ,"4,702                                            ",127                                            
                                                Akwa Ibom                                            ,"4,625                                            ",87                                            ,"4,494                                            ",44                                            
                                                Kwara                                            ,"4,541                                            ",302                                            ,"4,175                                            ",64                                            
                                                Gombe                                            ,"3,270                                            ",103                                            ,"3,103                                            ",64                                            
                                                Osun                                            ,"3,261                                            ",67                                            ,"3,102                                            ",92                                            
                                                Enugu                                            ,"2,952                                            ",13                                            ,"2,910                                            ",29                                            
                                                Anambra                                            ,"2,743                                            ",46                                            ,"2,678                                            ",19                                            
                                                Nasarawa                                            ,"2,701                                            ",317                                            ,"2,345                                            ",39                                            
                                                Imo                                            ,"2,426                                            ",117                                            ,"2,252                                            ",57                                            
                                                Katsina                                            ,"2,399                                            ",23                                            ,"2,339                                            ",37                                            
                                                Abia                                            ,"2,152                                            ",6                                            ,"2,112                                            ",34                                            
                                                Benue                                            ,"2,129                                            ",340                                            ,"1,764                                            ",25                                            
                                                Ebonyi                                            ,"2,064                                            ",28                                            ,"2,004                                            ",32                                            
                                                Ekiti                                            ,"1,978                                            ",31                                            ,"1,919                                            ",28                                            
                                                Bauchi                                            ,"1,936                                            ",34                                            ,"1,878                                            ",24                                            
                                                Borno                                            ,"1,629                                            ",5                                            ,"1,580                                            ",44                                            
                                                Taraba                                            ,"1,469                                            ",58                                            ,"1,377                                            ",34                                            
                                                Bayelsa                                            ,"1,305                                            ",30                                            ,"1,247                                            ",28                                            
                                                Adamawa                                            ,"1,203                                            ",68                                            ,"1,103                                            ",32                                            
                                                Niger                                            ,"1,142                                            ",124                                            ,998                                            ,20                                            
                                                Sokoto                                            ,811                                            ,0                                            ,783                                            ,28                                            
                                                Cross River                                            ,778                                            ,7                                            ,746                                            ,25                                            
                                                Jigawa                                            ,664                                            ,4                                            ,642                                            ,18                                            
                                                Yobe                                            ,502                                            ,3                                            ,490                                            ,9                                            
                                                Kebbi                                            ,480                                            ,10                                            ,454                                            ,16                                            
                                                Zamfara                                            ,375                                            ,0                                            ,366                                            ,9                                            
                                                Kogi                                            ,5                                            ,0                                            ,3                                            ,2                                            
